product_name,product_category_tree,brand,retail_price,discounted_price,product_rating,discount_percentage
"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Breitling Wrist Watches""]",,571230.0,571230.0,,0.0
Lyc White Casual Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1199.0,899.0,5.0,25.02
Myra Comfortable Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1049.0,499.0,,52.43
"Calibro SW-125 Analog-Digital Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Calibro Wrist Watches""]",,2000.0,699.0,,65.05
Get Glamr Designer Uggy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3499.0,2799.0,,20.01
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2299.0,899.0,,60.9
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1999.0,999.0,,50.03
Rochees RW50 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Rochees Wrist Watches""]",,1120.0,952.0,,15.0
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2799.0,1299.0,,53.59
Salt N Pepper 13-516 Greta Red Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3495.0,2621.0,,25.01
Fluid DMF-002-GR01 Digital Watch  - For Boys,"[""Watches >> Wrist Watches >> Fluid Wrist Watches""]",,1699.0,849.0,3.5,50.03
Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1599.0,639.0,,60.04
Rialto Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3295.0,2395.0,,27.31
"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Rorlig Wrist Watches""]",,1099.0,399.0,,63.69
Wrangler Regular Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Wrangler Jeans""]",Regular,3295.0,1812.0,,45.01
Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3499.0,2274.0,,35.01
"Disney DW100230 Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Disney Wrist Watches""]",,350.0,350.0,,0.0
Salt N Pepper 13-167 Marsha Red Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3695.0,2771.0,,25.01
"Cartier W6701005 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Cartier Wrist Watches""]",,201000.0,201000.0,,0.0
Bruno Manetti Cannelita Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3399.0,1359.0,4.4,60.02
Stylistry Maxis Shde6603brwoboot3104 Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2199.0,1599.0,,27.29
"Lois Caron LCS-4032 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Lois Caron Wrist Watches""]",,1200.0,399.0,,66.75
"Felix Y 39 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Felix Wrist Watches""]",,1550.0,525.0,,66.13
Kielz Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2999.0,2399.0,,20.01
Sakay Country Leather Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3999.0,3499.0,,12.5
La Briza Black Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2299.0,2069.0,,10.0
"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys","[""Watches >> Wrist Watches >> Kool Kidz Wrist Watches""]",,375.0,263.0,5.0,29.87
"Franck Bella FB0128B Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Franck Bella Wrist Watches""]",,1199.0,959.0,,20.02
Steppings Trendy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2199.0,1099.0,,50.02
"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys","[""Watches >> Wrist Watches >> Kool Kidz Wrist Watches""]",,475.0,333.0,4.0,29.89
"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Vizion Wrist Watches""]",,1095.0,595.0,,45.66
Vencer Stella 7lyt1011 Digital Watch  - For Boys,"[""Watches >> Wrist Watches >> Vencer Stella Wrist Watches""]",,399.0,144.0,,63.91
La Briza Mile Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3999.0,3999.0,,0.0
"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls","[""Watches >> Wrist Watches >> Casela Wrist Watches""]",,3999.0,899.0,,77.52
Sneha Unique Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1799.0,899.0,,50.03
Timer TC_-_690143 Analog Watch  - For Boys,"[""Watches >> Wrist Watches >> Timer Wrist Watches""]",,1299.0,549.0,,57.74
NE Regular Fit Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> NE Jeans""]",Regular,4999.0,1899.0,,62.01
Shuz Touch Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2995.0,2995.0,,0.0
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2499.0,1149.0,3.5,54.02
"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Colat Wrist Watches""]",,4999.0,1049.0,5.0,79.02
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2299.0,899.0,3.5,60.9
Belle Gambe Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3999.0,1695.0,,57.61
"Titan 1639SL03 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Titan Wrist Watches""]",,1795.0,1695.0,,5.57
Selfie Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,1200.0,599.0,,50.08
Clincher Semonday Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3499.0,3499.0,,0.0
"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls","[""Watches >> Wrist Watches >> Srushti Art Jewelry Wrist Watches""]",,799.0,200.0,5.0,74.97
Kielz Ladies Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2499.0,1149.0,,54.02
"Q&Q VQ13-008 Analog Watch  - For Girls, Boys","[""Watches >> Wrist Watches >> Q&Q Wrist Watches""]",,585.0,526.0,3.6,10.09
Belle Gambe Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,3499.0,1765.0,,49.56
"Escort E-1700-906_Blk Analog Watch  - For Men, Boys","[""Watches >> Wrist Watches >> Escort Wrist Watches""]",,1925.0,1829.0,,4.99
Roxy Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,19995.0,9997.0,,50.0
Lee Men's Jeans,"[""Clothing >> Men's Clothing >> Jeans >> Lee Jeans""]",,2699.0,1619.0,,40.01
Bruno Manetti 676 Boots,"[""Footwear >> Women's Footwear >> Casual Shoes >> Boots""]",,2999.0,1199.0,,60.02
"Estilo 1056 Analog Watch  - For Boys, Men","[""Watches >> Wrist Watches >> Estilo Wrist Watches""]",,1299.0,299.0,,76.98
